,Dataset001_BrainTumour,Dataset002_Heart,Dataset003_Liver,Dataset004_Hippocampus,Dataset005_Prostate,Dataset006_Lung,Dataset007_Pancreas,Dataset008_HepaticVessel,Dataset009_Spleen,Dataset010_Colon
Dataset001_BrainTumour,0.0,0.8687481978938724,0.5041261391060019,3.361619251547521,1.2537618587697572,0.5906073790751032,0.5207193543683064,0.5353079866045997,0.503484501835633,0.520624982522559
Dataset002_Heart,1.849973544840453,0.0,0.4870594282151338,3.357102990630558,1.2402467460680446,0.5756467011874851,0.5036375821570416,0.5176691821456672,0.4860848532012335,0.5027185401579585
Dataset003_Liver,1.8480054660806673,0.8497136286870167,0.0,3.3543559900842,1.2406301020066284,0.57664434095201,0.5054133475892228,0.5195945053551154,0.48796765451123947,0.5047965665253024
Dataset004_Hippocampus,1.8560775361253667,0.8703459908683926,0.5049478017714528,0.0,1.1851816344643278,0.596979278829963,0.5235026859697005,0.5382492361984297,0.5034903770960815,0.5205372532912431
Dataset005_Prostate,1.8519600617441636,0.8572264258352543,0.4949557026393379,3.288866105804532,0.0,0.5879291936050761,0.5130945552267789,0.5273187366339089,0.49313098046091053,0.5098619380997486
Dataset006_Lung,1.8466308842885537,0.8504429663013302,0.48878687851531033,3.3585347151277087,1.2457468718350841,0.0,0.5051307161485764,0.5194021959180255,0.4882002388777528,0.5051378544682473
Dataset007_Pancreas,1.8479184767558128,0.849611466992491,0.488733062713559,3.3562328936256405,1.242089078617273,0.5763078974476814,0.0,0.519332483226647,0.48783587487483876,0.5046866000677367
Dataset008_HepaticVessel,1.8482152467086927,0.8493517656786254,0.488622792126627,3.3566882160362708,1.2420217660738737,0.5762879888150936,0.505041055190818,0.0,0.4876912010591114,0.5045398963484813
Dataset009_Spleen,1.8483134920959903,0.8496888829911651,0.48891742796528725,3.3538478465629384,1.2397550897428107,0.577007510636625,0.5054659261519996,0.5196126783055899,0.0,0.504737901566745
Dataset010_Colon,1.8484584269360567,0.849326847575782,0.48875061237008643,3.3538990680720975,1.2394903059808828,0.576949414998519,0.5053209248873116,0.5194656392098476,0.4877421732059211,0.0
