,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,-0.11064447462558746,-0.8392921686172485,0.36331284046173096,-13.66022777557373,-13.300687789916992,-16.62215805053711,-9.004650115966797,-17.06849479675293,-18.828075408935547,-16.9578857421875,-16.742538452148438,-20.318498611450195,-19.397823333740234,-18.18579864501953,-17.9510555267334,-6.945182800292969,-6.7601118087768555,-8.052118301391602,-8.165051460266113,-4.189634323120117,-4.120037078857422,-4.109073638916016,-4.122890949249268,-4.123320579528809,-4.117532730102539,-4.084813117980957,-15.186504364013672,-11.453065872192383,-17.876087188720703,-15.305344581604004,-11.594964981079102,-13.321554183959961,-12.950220108032227,-13.085799217224121,-13.389150619506836,-12.786563873291016,-13.423206329345703,-12.89427661895752,-12.88630485534668,-13.474440574645996,-13.206367492675781,-13.225444793701172,-12.764434814453125,-13.612619400024414,-13.56446647644043,-11.371427536010742,-14.707539558410645,-11.128849029541016,-13.781059265136719,-14.12585163116455,-9.88041877746582,-14.968860626220703,-14.134521484375,-14.171464920043945,-14.167139053344727,-14.154067993164062,-12.33987045288086,-13.337172508239746,-13.340810775756836,-19.932220458984375,-15.274042129516602,-12.36601734161377,-12.648977279663086,-12.991090774536133,-10.789144515991211,-12.64226245880127,-12.312629699707031,-12.717758178710938,-13.036969184875488,-13.862667083740234,-0.2715030610561371,0.4906668961048126,-0.5273942947387695,0.32218873500823975,-16.644779205322266,-9.040695190429688,-18.876205444335938,-20.337509155273438,-18.189851760864258,-6.94074821472168,-6.79146146774292,-8.041597366333008,-8.023334503173828,-4.271538734436035,-4.043947219848633,-3.911036491394043,-4.102403163909912,-3.996743679046631,-3.970583915710449,-4.38313102722168,-11.369348526000977,-15.283123016357422,-13.2811861038208,-13.0335111618042,-13.025227546691895,-13.391382217407227,-12.676263809204102,-13.59604263305664,-12.971410751342773,-12.919560432434082,-13.43030834197998,-13.306559562683105,-13.260910987854004,-12.662605285644531,-13.652905464172363,-13.431087493896484,-11.308443069458008,-11.167936325073242,-13.690181732177734,-14.124646186828613,-14.127799987792969,-14.194725036621094,-14.177328109741211,-14.106411933898926,-12.339479446411133,-13.372111320495605,-13.312960624694824,-12.441741943359375,-12.665258407592773,-13.01600456237793,-10.836118698120117,-12.649932861328125,-12.372055053710938,-12.769808769226074,-13.083414077758789,-13.873800277709961
lapgyn4_surgical_actions,-2.5368900299072266,0.0,-1.4021100997924805,0.5044890642166138,-16.76443862915039,-16.793394088745117,-20.380075454711914,-10.2066650390625,-21.625139236450195,-22.322755813598633,-19.378761291503906,-19.088321685791016,-23.384395599365234,-22.33808135986328,-21.014480590820312,-20.777915954589844,-9.906030654907227,-9.402536392211914,-9.7176513671875,-9.165850639343262,-4.8118977546691895,-4.702981948852539,-4.718790054321289,-4.765186309814453,-4.742681503295898,-4.737645626068115,-4.69820499420166,-18.221729278564453,-11.751436233520508,-21.025127410888672,-18.510986328125,-16.186054229736328,-15.2605562210083,-13.861480712890625,-14.114333152770996,-14.433584213256836,-13.652572631835938,-14.513175964355469,-13.798834800720215,-13.767738342285156,-14.611333847045898,-14.155991554260254,-14.234321594238281,-13.594098091125488,-14.81886100769043,-14.6851224899292,-13.288969993591309,-18.29832649230957,-12.857475280761719,-17.442310333251953,-16.442468643188477,-9.73335075378418,-16.41815948486328,-16.457855224609375,-16.48693084716797,-16.48077392578125,-16.46936798095703,-13.276069641113281,-14.669708251953125,-14.72884464263916,-22.63404083251953,-17.627742767333984,-13.246458053588867,-13.787837982177734,-14.59090805053711,-10.85185432434082,-13.642425537109375,-13.160934448242188,-13.814447402954102,-15.593530654907227,-15.956218719482422,-2.834744453430176,0.370222806930542,-1.0233343839645386,0.538025438785553,-20.39531898498535,-10.244661331176758,-22.337007522583008,-23.41844940185547,-21.012619018554688,-9.974538803100586,-9.428560256958008,-9.659106254577637,-9.057408332824707,-4.8852410316467285,-4.672512054443359,-4.448573112487793,-4.707184791564941,-4.550234317779541,-4.609437942504883,-5.0131754875183105,-11.58053970336914,-18.48809242248535,-15.215144157409668,-13.944417953491211,-14.022083282470703,-14.378398895263672,-13.403594970703125,-14.797513961791992,-13.927312850952148,-13.904585838317871,-14.527854919433594,-14.25351619720459,-14.29393482208252,-13.422828674316406,-14.796924591064453,-14.502703666687012,-13.16408920288086,-12.932713508605957,-17.31732940673828,-16.445276260375977,-16.43893051147461,-16.517683029174805,-16.5051212310791,-16.425085067749023,-13.274958610534668,-14.698906898498535,-14.696317672729492,-13.340810775756836,-13.791878700256348,-14.556787490844727,-10.906961441040039,-13.683136940002441,-13.276042938232422,-13.903074264526367,-15.648479461669922,-15.963376998901367
lapgyn4_instrument_count,-1.8633358478546143,-0.015073418617248535,0.0,1.752848505973816,-13.384441375732422,-14.306889533996582,-17.870500564575195,-9.177241325378418,-19.182653427124023,-19.432846069335938,-16.419082641601562,-15.911540985107422,-21.268428802490234,-20.02786636352539,-17.491165161132812,-17.103750228881836,-8.162620544433594,-7.342557907104492,-8.936917304992676,-8.480576515197754,-3.2966561317443848,-3.196988105773926,-3.196509599685669,-3.22175669670105,-3.233213424682617,-3.2477355003356934,-3.1814229488372803,-15.659379005432129,-10.206063270568848,-19.422252655029297,-15.267631530761719,-12.874374389648438,-11.611055374145508,-13.079310417175293,-13.495376586914062,-13.87215805053711,-12.922311782836914,-13.955723762512207,-13.059267044067383,-13.073604583740234,-13.968477249145508,-13.517675399780273,-13.550729751586914,-12.780384063720703,-13.974608421325684,-14.041847229003906,-10.79996395111084,-15.658551216125488,-10.449727058410645,-14.725862503051758,-12.327356338500977,-9.169295310974121,-14.027782440185547,-12.348037719726562,-12.38138198852539,-12.375150680541992,-12.36650276184082,-10.157474517822266,-11.87744140625,-11.974187850952148,-20.774898529052734,-13.587812423706055,-9.945331573486328,-11.469281196594238,-10.986227989196777,-8.59262466430664,-9.873311996459961,-9.721672058105469,-10.19819450378418,-13.118156433105469,-11.834088325500488,-2.1255712509155273,0.7617039680480957,0.23653745651245117,1.7168705463409424,-17.884180068969727,-9.223960876464844,-19.459474563598633,-21.284912109375,-17.49444007873535,-8.205501556396484,-7.3521223068237305,-8.87354850769043,-8.38774299621582,-3.3972561359405518,-3.1459012031555176,-3.0107760429382324,-3.1766417026519775,-2.997072696685791,-3.0914855003356934,-3.4035444259643555,-10.114232063293457,-15.257341384887695,-11.575798034667969,-13.196176528930664,-13.44827938079834,-13.806625366210938,-12.763486862182617,-14.13270378112793,-13.161028861999512,-13.115493774414062,-13.919000625610352,-13.640070915222168,-13.610923767089844,-12.653974533081055,-14.013334274291992,-13.882505416870117,-10.71084213256836,-10.506115913391113,-14.629522323608398,-12.322227478027344,-12.328927993774414,-12.418476104736328,-12.406898498535156,-12.311395645141602,-10.191003799438477,-11.914926528930664,-11.908429145812988,-10.040145874023438,-11.435276985168457,-10.940728187561035,-8.656436920166016,-9.918302536010742,-9.818199157714844,-10.26612663269043,-13.163359642028809,-11.855445861816406
lapgyn4_anatomical_actions,-6.003145694732666,-3.241302967071533,-3.359618663787842,0.0,-19.933155059814453,-21.03883934020996,-24.71466827392578,-15.311784744262695,-26.272884368896484,-26.642684936523438,-22.924076080322266,-22.542495727539062,-28.18060874938965,-26.87845802307129,-24.43643569946289,-24.11980628967285,-14.749035835266113,-13.418665885925293,-15.02397346496582,-14.182914733886719,-8.019338607788086,-7.920427322387695,-7.896887302398682,-7.9445013999938965,-7.93994140625,-7.957047939300537,-7.877009391784668,-22.09600067138672,-15.660426139831543,-26.32556915283203,-22.396011352539062,-19.692829132080078,-18.278818130493164,-19.835491180419922,-20.315263748168945,-20.697711944580078,-19.68206214904785,-20.804771423339844,-19.815067291259766,-19.848386764526367,-20.821767807006836,-20.291973114013672,-20.36522102355957,-19.507713317871094,-20.742027282714844,-20.86684226989746,-17.527416229248047,-22.181983947753906,-17.103092193603516,-21.402841567993164,-19.302017211914062,-15.384954452514648,-20.459636688232422,-19.335250854492188,-19.363861083984375,-19.358732223510742,-19.350080490112305,-16.365137100219727,-18.33665657043457,-18.460693359375,-27.8674373626709,-20.544723510742188,-16.18365478515625,-18.256071090698242,-17.87308120727539,-14.392139434814453,-16.43807601928711,-15.995450973510742,-16.69263458251953,-19.556468963623047,-18.35894012451172,-6.284042835235596,-2.667111873626709,-3.064955234527588,0.04442565143108368,-24.731033325195312,-15.361745834350586,-26.662208557128906,-28.197017669677734,-24.430400848388672,-14.782988548278809,-13.435903549194336,-14.972015380859375,-14.09353256225586,-8.157559394836426,-7.8468427658081055,-7.718735218048096,-7.878484725952148,-7.628391265869141,-7.783054828643799,-8.147428512573242,-15.533527374267578,-22.396623611450195,-18.25343894958496,-19.9443416595459,-20.255329132080078,-20.62473487854004,-19.500146865844727,-20.981494903564453,-19.924470901489258,-19.887767791748047,-20.774085998535156,-20.40133285522461,-20.424392700195312,-19.375940322875977,-20.749248504638672,-20.698978424072266,-17.40983772277832,-17.161283493041992,-21.27727508544922,-19.29582977294922,-19.307479858398438,-19.410266876220703,-19.385438919067383,-19.289512634277344,-16.389694213867188,-18.376689910888672,-18.38327407836914,-16.272754669189453,-18.22342300415039,-17.80925941467285,-14.465855598449707,-16.49463653564453,-16.09113311767578,-16.77483558654785,-19.600555419921875,-18.37355613708496
sklin2_skin_lesions,-9.91499137878418,-9.941956520080566,-8.8176851272583,-9.300140380859375,0.0,-7.307923793792725,-7.184022903442383,-8.267866134643555,-12.226529121398926,-9.920402526855469,-9.909453392028809,-8.8056640625,-15.007434844970703,-13.538900375366211,-7.634552478790283,-6.500847816467285,-6.402406215667725,-6.497343063354492,-8.95427417755127,-9.102681159973145,-6.641401767730713,-6.537093162536621,-6.602315425872803,-6.578182220458984,-6.62815523147583,-6.6716203689575195,-6.602972030639648,-3.369534492492676,-7.158628463745117,-11.895431518554688,-6.173515796661377,4.920030117034912,-2.504202365875244,-9.964031219482422,-10.51668643951416,-10.815065383911133,-9.933813095092773,-10.862409591674805,-9.994815826416016,-10.04887580871582,-10.832265853881836,-10.529899597167969,-10.395479202270508,-9.598664283752441,-10.786676406860352,-10.801315307617188,-8.036327362060547,-2.9359846115112305,-7.841038703918457,-1.0263450145721436,0.8340773582458496,-7.340099811553955,-7.551300048828125,0.8076992034912109,0.7937593460083008,0.8524863719940186,0.8016438484191895,-4.400999069213867,-5.843132495880127,-5.958521366119385,-11.312678337097168,0.20363450050354004,-3.814983367919922,-6.685477256774902,-3.8513779640197754,-4.9862213134765625,-2.5790762901306152,-3.5476794242858887,-3.054856061935425,-2.516505718231201,0.45498812198638916,-9.996908187866211,-9.406634330749512,-8.966882705688477,-9.310539245605469,-7.236504077911377,-8.27036190032959,-10.030435562133789,-15.000947952270508,-7.640209197998047,-6.4687910079956055,-6.507662773132324,-8.859748840332031,-9.142061233520508,-6.698202133178711,-6.638649940490723,-6.650825500488281,-6.459282875061035,-6.48570442199707,-6.617629051208496,-6.4405517578125,-7.273374557495117,-6.1969218254089355,-2.4629499912261963,-10.096893310546875,-10.644338607788086,-10.743841171264648,-9.875839233398438,-10.856682777404785,-9.98866081237793,-10.000165939331055,-10.797895431518555,-10.601723670959473,-10.46845531463623,-9.539308547973633,-10.934394836425781,-10.707878112792969,-7.991518974304199,-7.863274097442627,-1.2249572277069092,0.8547937870025635,0.8293328285217285,0.7189888954162598,0.8147425651550293,0.8758435249328613,-4.471151351928711,-5.890570640563965,-5.83944845199585,-3.899550676345825,-6.56318473815918,-3.8323798179626465,-5.055648326873779,-2.641202211380005,-3.673311471939087,-3.0713255405426025,-2.564431667327881,0.4323636293411255
identify_nbi_infframes,-17.73645782470703,-18.438085556030273,-17.76711082458496,-18.415983200073242,-13.694684028625488,0.0,3.341703414916992,-18.733478546142578,-10.483529090881348,-2.3338751792907715,-15.610237121582031,-14.865787506103516,-19.07111167907715,-16.898624420166016,-6.276310443878174,-5.123085021972656,-16.389738082885742,-16.668243408203125,-18.018396377563477,-19.217382431030273,-16.91244125366211,-16.908626556396484,-16.922348022460938,-16.87190055847168,-16.9617977142334,-16.903369903564453,-16.981115341186523,-14.14698600769043,-16.989545822143555,-16.476608276367188,-8.407692909240723,-5.565773010253906,-11.786575317382812,-17.04522132873535,-16.32410430908203,-15.942458152770996,-17.00078773498535,-15.797704696655273,-16.97498893737793,-16.913509368896484,-15.778434753417969,-16.38572883605957,-16.20005226135254,-17.01215362548828,-16.401077270507812,-15.743460655212402,-16.818586349487305,-13.213321685791016,-17.087480545043945,-5.819238662719727,-9.716470718383789,-17.469812393188477,-17.8603572845459,-9.609617233276367,-9.757096290588379,-9.606447219848633,-9.666495323181152,-16.22695541381836,-16.309078216552734,-16.326873779296875,-11.010444641113281,-7.7507195472717285,-11.026927947998047,-16.095333099365234,-12.624007225036621,-14.507013320922852,-10.61343002319336,-11.437196731567383,-12.626662254333496,-13.146629333496094,-13.897629737854004,-17.762500762939453,-18.06433868408203,-17.794219970703125,-18.53398323059082,3.210606575012207,-18.661081314086914,-2.9972898960113525,-18.98317527770996,-6.2312421798706055,-16.330718994140625,-16.55611228942871,-18.031892776489258,-19.340496063232422,-16.865692138671875,-16.895071029663086,-17.024930953979492,-16.969141006469727,-16.951414108276367,-16.963706970214844,-16.7838191986084,-17.135251998901367,-8.540616989135742,-11.785555839538574,-16.90522003173828,-16.532085418701172,-16.089111328125,-17.119709014892578,-15.693382263183594,-16.82682991027832,-16.920595169067383,-15.92155647277832,-16.24638557434082,-16.214811325073242,-17.11124038696289,-16.656387329101562,-15.714212417602539,-16.867673873901367,-17.069849014282227,-6.310086727142334,-9.618879318237305,-9.744327545166016,-9.680157661437988,-9.557518005371094,-9.610566139221191,-16.298542022705078,-16.110980987548828,-16.292144775390625,-11.143159866333008,-16.049503326416016,-12.770437240600586,-14.528902053833008,-10.63849925994873,-11.4100341796875,-12.702437400817871,-13.225815773010254,-13.915970802307129
laryngeal_tissues,-54.7827262878418,-55.769649505615234,-55.08586120605469,-55.829647064208984,-47.70663070678711,-31.394222259521484,0.0,-55.239463806152344,-40.79761505126953,3.9896059036254883,-46.843719482421875,-47.35503387451172,-29.58120346069336,-25.13884925842285,-21.334434509277344,-18.76853370666504,-54.32149887084961,-54.65186309814453,-54.7386360168457,-56.891963958740234,-55.43883514404297,-55.4777946472168,-55.48292922973633,-55.40875244140625,-55.518028259277344,-55.42041015625,-55.54929733276367,-46.00410079956055,-52.77906036376953,-51.67512512207031,-36.290740966796875,-33.40544891357422,-46.82280731201172,-54.32723617553711,-53.23073959350586,-52.426334381103516,-54.22063064575195,-52.271141052246094,-54.22401428222656,-54.12521743774414,-52.261173248291016,-53.143375396728516,-52.927703857421875,-54.36686325073242,-53.16410446166992,-52.081302642822266,-54.71753692626953,-47.005184173583984,-55.24676513671875,-33.52293395996094,-44.70166015625,-56.51191711425781,-53.81672286987305,-44.56319046020508,-44.723018646240234,-44.52149963378906,-44.60994338989258,-51.5186653137207,-51.09383010864258,-51.112464904785156,-42.721431732177734,-41.157073974609375,-44.94957733154297,-53.172908782958984,-49.39371109008789,-50.91140365600586,-46.57452392578125,-46.55173873901367,-47.828094482421875,-48.51104736328125,-51.15067672729492,-54.787471771240234,-56.973052978515625,-55.0823974609375,-55.91421127319336,-0.4682699739933014,-55.158363342285156,3.3845291137695312,-29.14005470275879,-21.243488311767578,-54.25069808959961,-54.54740905761719,-54.79948043823242,-57.078346252441406,-55.34233474731445,-55.49009704589844,-55.643856048583984,-55.5853157043457,-55.61403274536133,-55.46080780029297,-55.33209228515625,-52.952816009521484,-36.3127326965332,-46.85078048706055,-54.15135192871094,-53.46064758300781,-52.615840911865234,-54.35746383666992,-52.12949752807617,-54.003414154052734,-54.17570114135742,-52.45730972290039,-52.89088821411133,-52.96987533569336,-54.51375198364258,-53.46611022949219,-52.08399963378906,-54.83384704589844,-55.21894836425781,-34.3256721496582,-44.596641540527344,-44.740379333496094,-44.605926513671875,-44.422508239746094,-44.56800842285156,-51.57649230957031,-50.80692672729492,-51.18048095703125,-44.9752197265625,-53.23265838623047,-49.63027572631836,-50.95933532714844,-46.53281784057617,-46.53403091430664,-48.03814697265625,-48.585693359375,-51.15983581542969
nerthus_bowel_cleansing_quality,-10.887917518615723,-9.372217178344727,-10.096588134765625,-10.34921932220459,-14.597665786743164,-17.238189697265625,-20.96127700805664,0.0,-22.54051971435547,-20.647890090942383,-17.619319915771484,-16.73770523071289,-21.974666595458984,-20.78993034362793,-18.19186019897461,-17.58480453491211,-6.188263893127441,-6.081730842590332,-2.580376148223877,-5.397871494293213,-6.581875801086426,-6.409289836883545,-6.481606483459473,-6.575746059417725,-6.5637969970703125,-6.5450239181518555,-6.556227684020996,-16.286643981933594,-7.287849426269531,-19.684579849243164,-17.610252380371094,-14.350932121276855,-9.480814933776855,-9.599842071533203,-9.559444427490234,-9.833809852600098,-9.311952590942383,-9.78312873840332,-9.452845573425293,-9.370229721069336,-10.0863037109375,-9.75246524810791,-9.66702938079834,-9.199830055236816,-11.044341087341309,-10.023635864257812,-11.273406982421875,-16.235010147094727,-10.602666854858398,-16.02374839782715,-9.968761444091797,-4.176980972290039,-12.197068214416504,-9.924192428588867,-9.970257759094238,-9.965928077697754,-9.949345588684082,-4.537201881408691,-6.016535758972168,-6.017689228057861,-20.797897338867188,-10.994828224182129,-8.541714668273926,-7.8177571296691895,-6.885965824127197,-7.165030002593994,-7.18790864944458,-7.509124279022217,-7.3301215171813965,-14.759012222290039,-9.661680221557617,-11.131475448608398,-9.609050750732422,-9.877372741699219,-10.180408477783203,-20.980649948120117,-0.08392418920993805,-20.579898834228516,-21.983230590820312,-18.23885726928711,-6.3326826095581055,-6.464616775512695,-2.4554057121276855,-5.338940620422363,-6.5664286613464355,-6.555140018463135,-6.33872652053833,-6.389344215393066,-6.386079788208008,-6.585972785949707,-6.62190580368042,-7.107274055480957,-17.632530212402344,-9.48986530303955,-9.717484474182129,-9.597790718078613,-9.762548446655273,-9.091414451599121,-10.10474967956543,-9.595405578613281,-9.585965156555176,-9.967939376831055,-9.837539672851562,-9.743265151977539,-9.010919570922852,-10.973806381225586,-9.864935874938965,-11.04649543762207,-10.713488578796387,-15.954988479614258,-9.967784881591797,-9.914036750793457,-9.984344482421875,-10.016094207763672,-9.882662773132324,-4.573391914367676,-6.017531394958496,-5.939977645874023,-8.656874656677246,-7.682897567749023,-6.864452838897705,-7.23220157623291,-7.21432638168335,-7.670764923095703,-7.375128269195557,-14.83680534362793,-9.65024471282959
stanford_dogs_image_categorization,-12.537298202514648,-13.95327091217041,-13.412576675415039,-14.037604331970215,-10.654546737670898,-4.6264262199401855,-1.49609375,-15.157621383666992,0.0,-5.975973606109619,-10.521601676940918,-10.736932754516602,-12.550423622131348,-12.515718460083008,-8.25865364074707,-7.883645057678223,-13.164419174194336,-13.703559875488281,-14.435661315917969,-14.893657684326172,-14.03211498260498,-14.045326232910156,-14.055780410766602,-14.008504867553711,-14.041399002075195,-14.022454261779785,-14.029114723205566,-11.433019638061523,-15.41038703918457,-12.54846477508545,-8.93377685546875,-4.8973870277404785,-9.685321807861328,-15.980095863342285,-15.583422660827637,-15.29837703704834,-15.942564010620117,-15.237107276916504,-15.953330993652344,-15.901710510253906,-15.216090202331543,-15.566293716430664,-15.487710952758789,-16.059200286865234,-15.540914535522461,-15.173895835876465,-14.976417541503906,-10.871870040893555,-15.189181327819824,-6.893553256988525,-10.059194564819336,-15.765324592590332,-14.096299171447754,-9.981012344360352,-10.083295822143555,-10.016026496887207,-10.025480270385742,-14.701569557189941,-14.557320594787598,-14.54428768157959,-11.157938957214355,-9.202768325805664,-11.825933456420898,-14.50948429107666,-12.342562675476074,-14.25192642211914,-11.553842544555664,-12.217901229858398,-12.66477108001709,-7.479238510131836,-12.652658462524414,-12.44647216796875,-14.411054611206055,-13.466421127319336,-14.15684700012207,-1.5585956573486328,-15.117194175720215,-6.345229148864746,-12.58950424194336,-8.235978126525879,-13.078041076660156,-13.653616905212402,-14.449288368225098,-14.899328231811523,-14.049394607543945,-14.077634811401367,-14.142802238464355,-13.980960845947266,-14.061222076416016,-13.973800659179688,-14.033198356628418,-15.473651885986328,-8.96103572845459,-9.669393539428711,-15.940794944763184,-15.651050567626953,-15.423971176147461,-16.010009765625,-15.185866355895996,-15.880010604858398,-15.880407333374023,-15.29768180847168,-15.469146728515625,-15.471771240234375,-16.10120964050293,-15.669081687927246,-15.190627098083496,-15.011046409606934,-15.167407989501953,-7.198673248291016,-10.013101577758789,-10.081083297729492,-10.03956413269043,-9.97763729095459,-9.976058006286621,-14.738136291503906,-14.490039825439453,-14.540079116821289,-11.888570785522461,-14.508792877197266,-12.431108474731445,-14.25826644897461,-11.567363739013672,-12.210261344909668,-12.70486068725586,-7.547079086303711,-12.658796310424805
svhn,-128.76283264160156,-129.49371337890625,-128.54359436035156,-129.1749725341797,-123.97431182861328,-110.66065979003906,-58.37684631347656,-128.07257080078125,-117.14424133300781,0.0,-118.65804290771484,-119.15457916259766,-52.17028045654297,-45.050628662109375,-68.43087005615234,-64.91378784179688,-127.63414001464844,-127.84832000732422,-128.01759338378906,-129.66995239257812,-128.2621612548828,-128.2799530029297,-128.27804565429688,-128.2360382080078,-128.33155822753906,-128.25819396972656,-128.3468017578125,-123.64229583740234,-127.42912292480469,-126.95724487304688,-106.81777954101562,-115.97822570800781,-119.82864379882812,-127.52638244628906,-126.71910095214844,-126.13268280029297,-127.4446029663086,-126.00910186767578,-127.45427703857422,-127.40049743652344,-125.98027801513672,-126.62008666992188,-126.46807098388672,-127.5569076538086,-126.67733001708984,-125.83336639404297,-126.8586654663086,-123.77682495117188,-127.1679916381836,-114.91629028320312,-120.34407043457031,-128.3693389892578,-123.87095642089844,-120.24220275878906,-120.3842544555664,-120.22705841064453,-120.28118133544922,-124.44891357421875,-124.07054138183594,-124.13418579101562,-120.55877685546875,-117.8099365234375,-118.25428771972656,-125.66812896728516,-122.2811508178711,-123.3694839477539,-119.73615264892578,-119.26995849609375,-120.72441101074219,-123.96688842773438,-124.77510070800781,-128.75286865234375,-129.48207092285156,-128.57972717285156,-129.26998901367188,-59.340213775634766,-127.99679565429688,0.3000527322292328,-50.994346618652344,-68.31800842285156,-127.58120727539062,-127.75804138183594,-128.02159118652344,-129.8364715576172,-128.1824188232422,-128.27700805664062,-128.42848205566406,-128.344482421875,-128.34259033203125,-128.2957305908203,-128.13877868652344,-127.61297607421875,-106.57254791259766,-119.8614501953125,-127.40811920166016,-126.91155242919922,-126.26551055908203,-127.56816864013672,-125.90055084228516,-127.30558013916016,-127.41230773925781,-126.15652465820312,-126.43255615234375,-126.49813842773438,-127.68122100830078,-126.91232299804688,-125.83502960205078,-126.92046356201172,-127.1441879272461,-115.48373413085938,-120.24179077148438,-120.37483215332031,-120.2956314086914,-120.14871978759766,-120.22183227539062,-124.501953125,-123.79879760742188,-124.1758804321289,-118.29004669189453,-125.71269989013672,-122.45320892333984,-123.42282104492188,-119.710205078125,-119.2801284790039,-120.88622283935547,-124.01117706298828,-124.78048706054688
