,exp,hp,meta,mean,std,dist,upper,lower
1012,Co-Training<br>Data,-0.125,rank,0.5189461634329318,0.20923934447429082,KLD-PP:NS-1000-BINS,0.7281855079072226,0.30970681895864094
1013,Co-Training<br>Data,-0.125,regret,0.17436772128029543,0.1697192979629449,KLD-PP:NS-1000-BINS,0.34408701924324037,0.00464842331735052
1014,Co-Training<br>Data,-0.125,weightedtau,-0.0082394940001325,0.19162707191357473,KLD-PP:NS-1000-BINS,0.18338757791344223,-0.19986656591370722
830,Co-Training<br>Data,-0.125,delta,0.008508445372569172,0.03590429854041582,FID,0.04441274391298499,-0.027395853167846644
24,Augmentation<br>Policy,-0.125,weightedtau,-0.024187089083376367,0.17472023812197782,FED,0.15053314903860146,-0.19890732720535417
1282,Co-Training<br>Data,-0.125,rank,0.5096784538366074,0.19163731580948493,SEMANTIC,0.7013157696460923,0.3180411380271224
1281,Co-Training<br>Data,-0.125,gain,0.6782945736434108,0.36674749347501784,SEMANTIC,1.0450420671184286,0.311547080168393
1280,Co-Training<br>Data,-0.125,delta,0.010886874040275898,0.03494468708136196,SEMANTIC,0.04583156112163786,-0.024057813041086062
2810,Pretraining<br>Data,-0.125,delta,-0.010780862636036339,0.03458329281606986,VDNA-PP:NN-1000-BINS,0.023802430180033522,-0.045364155452106196
2811,Pretraining<br>Data,-0.125,gain,0.34108527131782945,0.3791174622192952,VDNA-PP:NN-1000-BINS,0.7202027335371246,-0.03803219090146576
2812,Pretraining<br>Data,-0.125,rank,0.6628006204790488,0.18592149388938542,VDNA-PP:NN-1000-BINS,0.8487221143684341,0.47687912658966336
1284,Co-Training<br>Data,-0.125,weightedtau,-0.03676043141561822,0.17839950653681386,SEMANTIC,0.14163907512119564,-0.21515993795243207
2450,Pretraining<br>Data,-0.125,delta,-0.012130447367365038,0.03773271277561456,KLD-PP:NS-1000-BINS,0.025602265408249524,-0.0498631601429796
2452,Pretraining<br>Data,-0.125,rank,0.6718154375444917,0.19516644281209475,KLD-PP:NS-1000-BINS,0.8669818803565864,0.47664899473239697
2453,Pretraining<br>Data,-0.125,regret,0.1926961601317603,0.17572156360330793,KLD-PP:NS-1000-BINS,0.3684177237350682,0.016974596528452374
2454,Pretraining<br>Data,-0.125,weightedtau,0.15719175690952492,0.16359190399420498,KLD-PP:NS-1000-BINS,0.3207836609037299,-0.0064001470846800634
740,Co-Training<br>Data,-0.125,delta,0.0055709685697112035,0.039204804078357365,FED,0.04477577264806857,-0.03363383550864616
741,Co-Training<br>Data,-0.125,gain,0.6162790697674417,0.38777879908631396,FED,1.0040578688537556,0.22850027068112777
742,Co-Training<br>Data,-0.125,rank,0.48350130406456904,0.20125745071728776,FED,0.6847587547818568,0.2822438533472813
743,Co-Training<br>Data,-0.125,regret,0.1927802804823,0.18455612780483738,FED,0.3773364082871374,0.008224152677462626
744,Co-Training<br>Data,-0.125,weightedtau,-0.03715472616316901,0.1883397058382047,FED,0.1511849796750357,-0.2254944320013737
114,Augmentation<br>Policy,-0.125,weightedtau,0.017177902898340522,0.20384190091180215,FID,0.2210198038101427,-0.18666399801346162
1194,Co-Training<br>Data,-0.125,weightedtau,-0.007085781474100367,0.19338047856641677,KLD-PP:NS-W:TS-100-BINS,0.1862946970923164,-0.20046626004051712
1193,Co-Training<br>Data,-0.125,regret,0.17527474833880674,0.1697973278845152,KLD-PP:NS-W:TS-100-BINS,0.3450720762233219,0.005477420454291532
2451,Pretraining<br>Data,-0.125,gain,0.36046511627906974,0.3833635666818196,KLD-PP:NS-1000-BINS,0.7438286829608893,-0.022898450402749848
1551,Model<br>Architecture,-0.125,gain,0.6550387596899224,0.3807377579254224,FID,1.0357765176153448,0.2743010017645
203,Augmentation<br>Policy,-0.125,regret,0.17012961180467248,0.1627211242456014,KLD-PP:NN,0.3328507360502739,0.007408487559071086
1553,Model<br>Architecture,-0.125,regret,0.2011518360465148,0.18066256514803297,FID,0.3818144011945478,0.02048927089848182
382,Augmentation<br>Policy,-0.125,rank,0.5706967617570456,0.16876036523496468,KLD-PP:NS-W:SN-1000-BINS,0.7394571269920103,0.40193639652208096
381,Augmentation<br>Policy,-0.125,gain,0.6434108527131783,0.4178710364100095,KLD-PP:NS-W:SN-1000-BINS,1.0612818891231879,0.22553981630316883
380,Augmentation<br>Policy,-0.125,delta,0.0037970944122442656,0.04871295125521616,KLD-PP:NS-W:SN-1000-BINS,0.052510045667460425,-0.04491585684297189
2004,Model<br>Architecture,-0.125,weightedtau,-0.015312379694507921,0.14868528524408836,SEMANTIC,0.13337290554958045,-0.16399766493859627
