,exp,hp,meta,mean,std,dist,upper,lower
1749,Model<br>Architecture,-0.75,weightedtau,0.06261489638691119,0.1439211236550625,KLD-PP:NS-1000-BINS,0.2065360200419737,-0.0813062272681513
1659,Model<br>Architecture,-0.75,weightedtau,0.02896189929200787,0.1680882139666455,KLD-PP:NN,0.19705011325865338,-0.13912631467463762
1746,Model<br>Architecture,-0.75,gain,0.7131782945736433,0.3621388557495498,KLD-PP:NS-1000-BINS,1.075317150323193,0.35103943882409355
1745,Model<br>Architecture,-0.75,delta,0.0033812478223204383,0.041155663616508104,KLD-PP:NS-1000-BINS,0.04453691143882854,-0.037774415794187666
2379,Pretraining<br>Data,-0.75,weightedtau,0.2146837549336016,0.20319069455297797,KLD-PP:NN,0.4178744494865796,0.011493060380623615
2378,Pretraining<br>Data,-0.75,regret,0.19007725661773286,0.17857754526704198,KLD-PP:NN,0.36865480188477484,0.011499711350690889
2377,Pretraining<br>Data,-0.75,rank,0.6693483848028668,0.18353628949789472,KLD-PP:NN,0.8528846743007615,0.48581209530497216
2376,Pretraining<br>Data,-0.75,gain,0.3372093023255814,0.3910575105942696,KLD-PP:NN,0.728266812919851,-0.05384820826868819
2375,Pretraining<br>Data,-0.75,delta,-0.008963850733537693,0.03222559808558642,KLD-PP:NN,0.02326174735204873,-0.04118944881912411
1295,Co-Training<br>Data,-0.75,delta,0.008628957762890707,0.036802029264223775,SEMANTIC,0.04543098702711448,-0.028173071501333066
1296,Co-Training<br>Data,-0.75,gain,0.631782945736434,0.38949966151475596,SEMANTIC,1.02128260725119,0.24228328422167805
1297,Co-Training<br>Data,-0.75,rank,0.4901143672098311,0.21470752284592592,SEMANTIC,0.704821890055757,0.27540684436390517
1298,Co-Training<br>Data,-0.75,regret,0.18672593001448404,0.17138470625644317,SEMANTIC,0.3581106362709272,0.015341223758040867
1299,Co-Training<br>Data,-0.75,weightedtau,-0.028621323169785193,0.19750247967952658,SEMANTIC,0.1688811565097414,-0.22612380284931177
669,Augmentation<br>Policy,-0.75,weightedtau,0.19857127856148693,0.24660710476459238,VDNA-PP:NN-1000-BINS,0.4451783833260793,-0.04803582620310545
668,Augmentation<br>Policy,-0.75,regret,0.15979589785160367,0.16053913669046793,VDNA-PP:NN-1000-BINS,0.3203350345420716,-0.000743238838864263
667,Augmentation<br>Policy,-0.75,rank,0.6075841861109111,0.20410045932485718,VDNA-PP:NN-1000-BINS,0.8116846454357683,0.40348372678605393
666,Augmentation<br>Policy,-0.75,gain,0.6705426356589146,0.3910575105942696,VDNA-PP:NN-1000-BINS,1.061600146253184,0.279485125064645
665,Augmentation<br>Policy,-0.75,delta,0.0025134817805401227,0.05876730707087809,VDNA-PP:NN-1000-BINS,0.061280788851418216,-0.05625382529033797
